Population,MortalityRate,NatalityRate,GDP,GDP_PC
25106190,0.2743546293280956,4.96,55634414465.2104,2215.96387318357
25758869,0.25327196004545544,4.73,62048562947.2509,2408.82298523208
26400479,0.2368518618685093,4.48,45715614559.7064,1731.62136973126
27028326,0.22191530146331645,4.22,48003078388.5401,1776.0282780527
27635515,0.2071609516116525,3.96,49945599428.5812,1807.29745090643
28213774,0.19214017322104732,3.7,42543178042.4148,1507.88666269017
28757785,0.17734326437068107,3.45,41764315330.4366,1452.27843429531
29266405,0.16329297592479297,3.21,46941582519.4661,1603.9403022019
29742979,0.15065739882150342,2.99,48177612042.1507,1619.79774865029
30192754,0.14003361734191155,2.8,48187747528.899,1596.00392574042
30623406,0.1307170077685023,2.64,48640653469.3025,1588.34890767221
31042235,0.12209171258850601,2.51,54790392746.1939,1765.02714611601
31451514,0.11369882269256809,2.44,54744712814.8676,1740.60665427662
31855109,0.10582289623234702,2.4,56760355865.0082,1781.82890798394
32264157,0.09893330862893404,2.41,67863828412.6882,2103.38129106939
32692163,0.09314161719480513,2.44,85332581188.6107,2610.18542243488
33149724,0.08874886424380055,2.5,103198223709.439,3113.09488313746
33641002,0.0857287060402205,2.57,117027307540.89,3478.71000237566
34166972,0.08382363133336704,2.65,134977082623.78,3950.5129931247
34730608,0.08298156864763999,2.73,171000699876.747,4923.63161541179
35333881,0.08269682906622035,2.8,137211035770.034,3883.27090043586
35977455,0.08274627349224935,2.86,161207270185.25,4480.78631766464
36661444,0.08319368160081446,2.91,200013052199.2,5455.67940349747
37383887,0.08375263372073631,2.95,209058991952.125,5592.22011465753
38140132,0.08434684355469638,2.99,209755003250.664,5499.58733105334
38923687,0.08472989507058015,3.02,213810024944.464,5493.05669453687
39728025,0.0847260950835204,3.04,165979279263.174,4177.8895415169
40551404,0.08401683216938662,3.05,160034163871.455,3946.45244712537
41389198,0.08260614236949981,3.05,170097014589.134,4109.69821695727
20123,,,,
20602,,,,
21253,,,,
22034,,,,
22854,,,,
23672,,,,
24462,,,,
25248,,,,
25989,,,,
26703,,,,
27363,,,,
27984,,,,
28567,,,,
29100,,,,
29596,,,,
30052,,,,
30456,,,,
30838,,,,
31269,,,,
31845,,,,
32646,,,,
33701,,,,
34968,,,,
36412,,,,
37946,,,,
39519,,,,
41119,,,,
42740,,,,
44343,,,,
45894,,,,
47347,,,,
48685,,,,
49896,,,,
51020,,,,
52095,,,,
53161,,,,
54211,,,,
55221,,,,
56171,,,,
57053,,,,
57821,,,,
58494,,,,
59080,,,512000000.0,8666.65538195914
59504,,,524000000.0,8807.46281200101
59681,,,509000000.0,8528.24877689163
